0:00, "Admiral, on this day, I, Kashima, will be undertaking the position of secretary ship. Fufu, I'm so happy."
1:00, "It's 0100, Admiral. Fufufu. How fun? ...eh? ""What was that"", you say? I-It was nothing... ehehe?"
2:00, "It's 0200, Admiral. The night sure is long, isn't it. I'll make some tea, okay? Or is coffee better?"
3:00, "It's 0300, Admiral. You must be getting sleepy, yes? I've got some nicely strong coffee. I'll put it over here, okay? ufufu."
4:00, "Admiral, would you like another coffee? This time, how about a great big heaping of milk and sugar? Ah, it's 0400 now!"
5:00, "It's 0500, Admiral. It's dawn! I'll get breakfast ready later, okay? Japanese, Western... Which would be better this morning?"
6:00, "It's 0600, Admiral. I've done the ""All hands, wake up"" for the fleet. Hmm, being on mission duty - it needs the fortitude for all nighters, doesn't it? ufufu"
7:00, "It's 0700, Admiral. Breakfast is over here, okay? It's scrambled eggs, bacon, toast and hot coffee! Dig in!"
8:00, "It's 0800, Admiral. Since I think that we'll be busy at lunch, I'll get some sandwiches ready, okay? Ham and egg, then afterwards... fufu."
9:00, "Admiral, it's now 0900.?Shall we begin the practices for today? Have you confirmed the status of the expedition before?"
10:00, "It's 1000. Oh my, that's everyone in the 6th Fleet. They look quite upbeat... Aoba, you're in a mission, so taking photos right now is... eh? Bedhair?! It's can't be, oh no!!"
11:00, "1100. Really, that Aoba gave me a shock! Talking about bedhair and what... My hair, it's always... Ah, i-it's nothing..."
12:00, "It's 1200, Admiral. How about a Kashima Special Sandwich for lunch? Even though you're at work... Ah, there's coffee here, too!"
13:00, "It's 1300, Admiral.?Did you have one of Kashima's sandwiches? Ah, yes! The largish bits of egg are it's good point, you see. I'm so happy that it suited your tastes~! Ufufu."
14:00, "It's 1400, Admiral. Yes, the Marine Escort Fleet? That's right, ASW is so very important. I'll do my best!"
15:00, "It's 1500. Eh, Admiral Inoue? Yes, while many things have been spoken about him, I, myself respect the man. I think he's an excellent person."
16:00, "It's 1600. How nostalgic they were, the days of the South Seas. There were just so many things. The seas of where the Admiral is now... I'll do my very best!"
17:00, "It's 1700, Admiral. The sunset is lovely, isn't it. I want to watch it forever! I love that final moment when the sun disappears just like that."
18:00, "It's 1800, Admiral. Dinner will be a little elaborate, so please look forward to it! Ufufu?"
19:00, "It's 1900, Admiral. Please wait just a little more. It's almost done, you see."
20:00, "It's 2000, Admiral. I tried making Kashima's special, Chicken Gratin. It's piping hot? You can eat it together with this bread. Ufufu?"
21:00, "2100... Oh me, Katori-nee? Good work! Yes, I'm alright! I've worked hard. Right, Admiral? ...Admiral?"
22:00, "It's true... DesRon3 is really so... active at night, aren't they? They're just so energetic. Ah, they're sortieing. It's 2200 now."
23:00, "It's 2300. Admiral, thank you again for you very hard work today as always! Even though I'm not very good at battle... I'll do my best with the flagship duties tomorrow too!"
